Address,Price,Details,Images
"Broadstone Midtown | 811 Juniper St NE, Atlanta, GA",as per size in the details,"['$1,360+ 1 bd', '$2,183+ 2 bds']",https://photos.zillowstatic.com/p_e/ISme1lf527p28k1000000000.jpg
"Camden Buckhead Square | 3097 Maple Dr NE, Atlanta, GA",as per size in the details,"['$1,249+ Studio', '$1,259+ 1 bd', '$1,849 2 bds']",https://photos.zillowstatic.com/p_e/ISj3a105y7ma9h1000000000.jpg
"Mezzo Apartments | 2171 Peachtree Rd NE, Atlanta, GA",as per size in the details,"['$2,569+ 2 bds', '$4,960 3 bds']",https://photos.zillowstatic.com/p_e/ISf019styzk6k01000000000.jpg
"Overture Buckhead South 55+ Apartment Homes | 658 Lindbergh Dr, Atlanta, GA",as per size in the details,"['$1,750+ 1 bd', '$2,600+ 2 bds']",https://photos.zillowstatic.com/p_e/ISr9kn39l5r7im1000000000.jpg
"Elan Madison Yards | 230 Bill Kennedy Way SE, Atlanta, GA",as per size in the details,"['$1,335+ Studio', '$1,570+ 1 bd', '$2,125+ 2 bds']",https://photos.zillowstatic.com/p_e/IS37qfzy0gmq5j0000000000.jpg
"Tremont Apartments | 3645 Habersham Rd NE, Atlanta, GA",as per size in the details,"['$1,494+ 1 bd', '$1,732+ 2 bds']",https://photos.zillowstatic.com/p_e/ISir456cu4m2bc1000000000.jpg
"ATL's New Community- Newbergh ATL | 761 Morosgo Dr NE, Atlanta, GA",as per size in the details,"['$1,455+ 1 bd', '$2,070+ 2 bds', '$2,910 3 bds']",https://photos.zillowstatic.com/p_e/ISz78fihjboabp0000000000.jpg
"1550 Olympian Cir SW #A, Atlanta, GA 30310","$1,300/mo","['2 bds', '1 ba', '-- sqft']",https://photos.zillowstatic.com/p_e/ISvcl9t77e2bjm0000000000.jpg
"683 Edgewood Ave NE, Atlanta, GA 30307","$4,000/mo","['3 bds', '2.5 ba', '2,640 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Studioplex On Auburn | 659 Auburn Ave NE, Atlanta, GA",as per size in the details,"['$2,150+ 1 bd']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"2030 Defoor Ave NW #D09, Atlanta, GA 30318","$1,095/mo","['1 bd', '1 ba', '780 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"AMLI Ponce Park | 641 N Ave Ne, Atlanta, GA",as per size in the details,"['$1,555+ 1 bd', '$2,230+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
